COMPANY NAME,UNIT NAME,QUESTION,Clover Element,ANSWER,Score,REASON,CUSTOM DESCRIPTION
Front Porch Agility,F&F,Did you feel understood by others today?,Communication,Happy Excited Motivated,100,I felt actively listened to and acknowledged,
Front Porch Agility,F&F,Did you feel understood by others today?,Communication,Sad Demotivated,33.3,There was a lack of effort to clarify misunderstandings.,
Front Porch Agility,F&F,Were you encouraged to explore beyond your comfort zone today?,Opportunity,Its OK,66.6,Management supports reasonble risk taking even when it fails,
Front Porch Agility,F&F,Were you encouraged to explore beyond your comfort zone today?,Opportunity,Happy Excited Motivated,100,Team culture supports experimenting and learning,
Front Porch Agility,F&F,Were you encouraged to explore beyond your comfort zone today?,Opportunity,Sad Demotivated,33.3,No explicit encouragement or support for risk-taking,
Front Porch Agility,F&F,Were you able to find new learning opportunities today?,Learning,Happy Excited Motivated,100,I actively engaged in a new learning experience,
Front Porch Agility,F&F,Were you able to find new learning opportunities today?,Learning,Sad Demotivated,33.3,No new opportunities were present or accessible,it's a slow Friday!
Front Porch Agility,F&F,Were you able to find new learning opportunities today?,Learning,Sad Demotivated,33.3,Current workload prevented exploration of learning,
Front Porch Agility,F&F,Were you able to find new learning opportunities today?,Learning,Happy Excited Motivated,100,,because I was feeling happy
Front Porch Agility,F&F,Did you feel your efforts were acknowledged today?,Communication,Sad Demotivated,33.3,My efforts went unnoticed or unappreciated,
Front Porch Agility,F&F,Did you feel your efforts were acknowledged today?,Communication,Sad Demotivated,33.3,Acknowledgement lacked sincerity or specificity,
Front Porch Agility,F&F,Did you reflect on your strengths and areas for improvement today?,Reflection,Its OK,66.6,I'm trying to identify my next learning goals,
Front Porch Agility,F&F,Did you reflect on your strengths and areas for improvement today?,Reflection,Its OK,66.6,I'm trying to identify my next learning goals,
Front Porch Agility,F&F,Did you reflect on your strengths and areas for improvement today?,Reflection,Frustrated Angry,0,There is no point as development opportunities aren't available,
Front Porch Agility,F&F,Were available methods for completing tasks personally satisfying today?,Enablement,Sad Demotivated,33.3,Methods were imposed rather than chosen,
Front Porch Agility,F&F,Were available methods for completing tasks personally satisfying today?,Enablement,Its OK,66.6,Our methods allow for creativity and innovation,
Front Porch Agility,F&F,Were available methods for completing tasks personally satisfying today?,Enablement,Its OK,66.6,I achieved a sense of accomplishment using our chosen methods,
Front Porch Agility,F&F,Were available methods for completing tasks personally satisfying today?,Enablement,Happy Excited Motivated,100,Our methods allow for creativity and innovation,
Front Porch Agility,F&F,Were you able to meaningfully engage with colleagues today?,Vulnerability,Sad Demotivated,100,Opportunities for deeper one-on-one engagement were limited,
Front Porch Agility,F&F,Were you able to meaningfully engage with colleagues today?,Vulnerability,Its OK,100,Had a significant conversation that went beyond work,
Front Porch Agility,F&F,Were you able to meaningfully engage with colleagues today?,Vulnerability,Happy Excited Motivated,100,Had a significant conversation that went beyond work,
Front Porch Agility,F&F,Were you able to meaningfully engage with colleagues today?,Vulnerability,Sad Demotivated,33.3,Interactions felt superficial or task-focused only,
Front Porch Agility,F&F,Did you celebrate a success today?,Opportunity,Its OK,66.6,We're encouraged to share our successes,
Front Porch Agility,F&F,Did you celebrate a success today?,Opportunity,Its OK,66.6,,Don't like sharing successes
Front Porch Agility,F&F,Did you celebrate a success today?,Opportunity,Frustrated Angry,0,Our culture doesn't emphasize celebrating wins,
Front Porch Agility,F&F,Did you celebrate a success today?,Opportunity,Happy Excited Motivated,100,I feel it adds positivity to the workplace when I share,
Front Porch Agility,F&F,Did you receive constructive feedback that fueled your growth today?,Learning,Its OK,66.6,,
Front Porch Agility,F&F,Did you receive constructive feedback that fueled your growth today?,Learning,Happy Excited Motivated,100,,"this seems like an error with the option selection. 
constructive feedback was positive and reassuring"
Front Porch Agility,F&F,Did you receive constructive feedback that fueled your growth today?,Learning,Happy Excited Motivated,100,Feedback focused on negatives without guidance,
Front Porch Agility,F&F,Did you receive constructive feedback that fueled your growth today?,Learning,Sad Demotivated,33.3,I got feedback that was helpful and timely,
Front Porch Agility,F&F,Did you receive constructive feedback that fueled your growth today?,Learning,Happy Excited Motivated,100,Feedback was patchy at best,
Front Porch Agility,F&F,Did you receive constructive feedback that fueled your growth today?,Learning,Frustrated Angry,0,I received feedback that provided a useful new perspective,
Front Porch Agility,F&F,Did you receive constructive feedback that fueled your growth today?,Learning,Happy Excited Motivated,100,Feedback was patchy at best,
Front Porch Agility,F&F,Did you receive constructive feedback that fueled your growth today?,Learning,Frustrated Angry,0,I got feedback that was helpful and timely,
Front Porch Agility,F&F,Did you receive constructive feedback that fueled your growth today?,Learning,Sad Demotivated,33.3,I got very constructive feedback,
Front Porch Agility,F&F,How easy was it to collaborate with others outside of your team today?,Enablement,Sad Demotivated,33.3,Collaboration was hindered by silos or lack of tools,
Front Porch Agility,F&F,Did you receive constructive feedback that fueled your growth today?,Learning,Its OK,66.6,Feedback was patchy at best,
Front Porch Agility,F&F,How easy was it to collaborate with others outside of your team today?,Enablement,Happy Excited Motivated,100,Cross team collaboration is encouraged,
Front Porch Agility,F&F,Did you feel understood by others today?,Communication,Happy Excited Motivated,100,There was a mutual understanding in all conversations,
Front Porch Agility,F&F,Did you feel understood by others today?,Communication,Sad Demotivated,33.3,Others seemed distracted or disinterested in my input,
Front Porch Agility,F&F,Were you supported by your team today?,Vulnerability,Sad Demotivated,100,My team was unavailable or indifferent to my needs,
Front Porch Agility,F&F,Were you supported by your team today?,Vulnerability,Sad Demotivated,100,My team was unavailable or indifferent to my needs,
Front Porch Agility,F&F,Did you feel understood by others today?,Communication,Its OK,66.6,My input was valued and prompted further discussion,
Front Porch Agility,F&F,Did you feel understood by others today?,Communication,Its OK,66.6,My input was valued and prompted further discussion,
Front Porch Agility,F&F,How productive has your day been?,Enablement,Frustrated Angry,0,Too much time in unproductive meetings,
Front Porch Agility,F&F,How productive has your day been?,Enablement,Sad Demotivated,33.3,The people I needed weren't available,
Front Porch Agility,F&F,How productive has your day been?,Enablement,Happy Excited Motivated,100,I got something important done,training with Charlene!!
Front Porch Agility,F&F,Did you feel purpose in your work today?,Opportunity,Happy Excited Motivated,100,I got time to progress something important / valuable,
Front Porch Agility,F&F,Did you feel purpose in your work today?,Opportunity,Sad Demotivated,33.3,I was overburdened with operational work,
Front Porch Agility,F&F,Did you feel purpose in your work today?,Opportunity,Happy Excited Motivated,100,I got time to progress something important / valuable,
Front Porch Agility,F&F,Did you receive constructive feedback today?,Reflection,Sad Demotivated,33.3,Criticism overshadowed constructive feedback,
Front Porch Agility,F&F,Did today's challenges enhance your personal growth?,Learning,Frustrated Angry,0,Lack of opportunity to reflect on challenges and get insights,
Front Porch Agility,F&F,Did you receive constructive feedback today?,Reflection,Happy Excited Motivated,100,actionable suggestions,
Front Porch Agility,F&F,Did today's challenges enhance your personal growth?,Learning,Frustrated Angry,0,,relationships are tough!
Front Porch Agility,F&F,Did you receive constructive feedback today?,Reflection,Sad Demotivated,33.3,Feedback was absent or not relevant,
Front Porch Agility,F&F,Did today's challenges enhance your personal growth?,Learning,Its OK,66.6,I learned valuable lessons from today's tasks,
Front Porch Agility,F&F,Did today's challenges enhance your personal growth?,Learning,Its OK,66.6,I learned valuable lessons from today's tasks,
Front Porch Agility,F&F,Did today's challenges enhance your personal growth?,Learning,Its OK,66.6,,learned new insights into employee engagement
Front Porch Agility,F&F,Did you receive constructive feedback today?,Reflection,Its OK,66.6,actionable suggestions,enjoyed the webinar
Front Porch Agility,F&F,Did you receive constructive feedback today?,Reflection,Happy Excited Motivated,100,Feedback included positive reinforcement,
Front Porch Agility,F&F,Did today's challenges enhance your personal growth?,Learning,Sad Demotivated,33.3,Challenges were routine and offered no new learning,
Front Porch Agility,F&F,Did today's challenges enhance your personal growth?,Learning,Sad Demotivated,33.3,I felt too busy to focus on growth,
Front Porch Agility,F&F,Did you receive constructive feedback today?,Reflection,Its OK,66.6,I received specific,
Front Porch Agility,F&F,Did you feel autonomous in managing your work today?,Enablement,Frustrated Angry,0,,
Front Porch Agility,F&F,Did you feel autonomous in managing your work today?,Enablement,Its OK,66.6,I'm trusted by management to handle my work autonomously,
Front Porch Agility,F&F,Did you feel autonomous in managing your work today?,Enablement,Sad Demotivated,33.3,Micromanagement limited decision-making freedom,
Front Porch Agility,F&F,Did you feel autonomous in managing your work today?,Enablement,Frustrated Angry,0,Micromanagement limited decision-making freedom,
Front Porch Agility,F&F,Did you feel autonomous in managing your work today?,Enablement,Sad Demotivated,33.3,Strict policies restricted how tasks could be approached,
Front Porch Agility,F&F,Were you comfortable sharing your true thoughts and feedback today?,Vulnerability,Sad Demotivated,100,There was no channel to give feedback,A busy day and didn't feel that I could burden others
Front Porch Agility,F&F,Were you comfortable sharing your true thoughts and feedback today?,Vulnerability,Happy Excited Motivated,100,I felt safe and confident to express my views,
Front Porch Agility,F&F,Were you comfortable sharing your true thoughts and feedback today?,Vulnerability,Happy Excited Motivated,100,The culture encouraged open and honest dialogue,
Front Porch Agility,F&F,Were you comfortable sharing your true thoughts and feedback today?,Vulnerability,Sad Demotivated,100,I hesitated due to fear of negative repercussions,
Front Porch Agility,F&F,Were you comfortable sharing your true thoughts and feedback today?,Vulnerability,Happy Excited Motivated,100,I felt safe and confident to express my views,
Front Porch Agility,F&F,Were you comfortable sharing your true thoughts and feedback today?,Vulnerability,Happy Excited Motivated,100,I felt safe and confident to express my views,
Front Porch Agility,F&F,Is your daily work aligning with your career goals?,Opportunity,Happy Excited Motivated,100,The opportunities here resonate with my personal ambitions,
Front Porch Agility,F&F,Is your daily work aligning with your career goals?,Opportunity,Happy Excited Motivated,100,The opportunities here resonate with my personal ambitions,
Front Porch Agility,F&F,Is your daily work aligning with your career goals?,Opportunity,Frustrated Angry,0,No one is helping me align my career with my personal goals,
Front Porch Agility,F&F,Is your daily work aligning with your career goals?,Opportunity,Happy Excited Motivated,100,My career milestones are in sync with personal goals,
Front Porch Agility,F&F,Were you able to invest time in your personal development today?,Learning,Happy Excited Motivated,100,I actively engaged in activities that promote self-improvement,
Front Porch Agility,F&F,Were you able to invest time in your personal development today?,Learning,Its OK,66.6,I actively engaged in activities that promote self-improvement,
Front Porch Agility,F&F,Were you able to invest time in your personal development today?,Learning,Its OK,66.6,I felt motivated by the progression in my skills and knowledge,
Front Porch Agility,F&F,Were you able to invest time in your personal development today?,Learning,Happy Excited Motivated,100,I felt motivated by the progression in my skills and knowledge,
Front Porch Agility,F&F,Were you able to invest time in your personal development today?,Learning,Sad Demotivated,33.3,Development felt like a low priority compared to other tasks,
Front Porch Agility,F&F,Were you able to invest time in your personal development today?,Learning,Sad Demotivated,33.3,Development felt like a low priority compared to other tasks,
Front Porch Agility,F&F,Were you able to invest time in your personal development today?,Learning,Sad Demotivated,33.3,There are no opportunities for personal development,
Front Porch Agility,F&F,Did you find clarity in communications with management today?,Communication,Happy Excited Motivated,100,Communications were clear and direct - preventing misunderstanding,
Front Porch Agility,F&F,Did you find clarity in communications with management today?,Communication,Happy Excited Motivated,100,There is a focus on ensuring mutual understanding,
Front Porch Agility,F&F,Did you find clarity in communications with management today?,Communication,Sad Demotivated,33.3,Communication was clear but the number of requests is overwhelming,
Front Porch Agility,F&F,Did you time take time to reflect on your work today?,Reflection,Happy Excited Motivated,100,I make time to reflect as I value this,"Minimal meetings; had time to get my work done.  

Clients acknowledged the value I delivered"
Front Porch Agility,F&F,Did you time take time to reflect on your work today?,Reflection,Its OK,66.6,,
Front Porch Agility,F&F,Did you time take time to reflect on your work today?,Reflection,Happy Excited Motivated,100,I make time to reflect as I value this,
Front Porch Agility,F&F,Did you time take time to reflect on your work today?,Reflection,Happy Excited Motivated,100,I make time to reflect as I value this,
Front Porch Agility,F&F,Did you time take time to reflect on your work today?,Reflection,Its OK,66.6,I make time to reflect as I value this,
Front Porch Agility,F&F,How easy was it to collaborate with others outside of your team today?,Enablement,Happy Excited Motivated,100,There is a strong sense of community and teamwork,
Front Porch Agility,F&F,How easy was it to collaborate with others outside of your team today?,Enablement,Its OK,66.6,There is a strong sense of community and teamwork,
Front Porch Agility,F&F,How easy was it to collaborate with others outside of your team today?,Enablement,Happy Excited Motivated,100,There is a strong sense of community and teamwork,
Front Porch Agility,F&F,How easy was it to collaborate with others outside of your team today?,Enablement,Frustrated Angry,0,There are strict channels to be followed to engage with other teams,
Front Porch Agility,F&F,How easy was it to collaborate with others outside of your team today?,Enablement,Sad Demotivated,33.3,Collaboration was hindered by silos or lack of tools,
Front Porch Agility,F&F,How easy was it to collaborate with others outside of your team today?,Enablement,Sad Demotivated,33.3,Difficult to find opportunities for meaningful connection,
Front Porch Agility,F&F,Were you supported by your team today?,Vulnerability,Its OK,66.6,I feel a strong sense of camaraderie and backing from my team,
Front Porch Agility,F&F,Were you supported by your team today?,Vulnerability,Its OK,66.6,I feel a strong sense of camaraderie and backing from my team,
Front Porch Agility,F&F,Were you supported by your team today?,Vulnerability,Happy Excited Motivated,100,I feel a strong sense of camaraderie and backing from my team,
Front Porch Agility,F&F,Were you supported by your team today?,Vulnerability,Its OK,66.6,I feel a strong sense of camaraderie and backing from my team,
Front Porch Agility,F&F,Were you supported by your team today?,Vulnerability,Happy Excited Motivated,100,My team provided timely and helpful support,
Front Porch Agility,F&F,Were you supported by your team today?,Vulnerability,Its OK,66.6,My team provided timely and helpful support,
Front Porch Agility,F&F,Were you supported by your team today?,Vulnerability,Happy Excited Motivated,100,My team actively offers assistance before I have to ask,
Front Porch Agility,F&F,Did you feel purpose in your work today?,Opportunity,Its OK,66.6,I got great feedback on something I did,
Front Porch Agility,F&F,Did you feel purpose in your work today?,Opportunity,Sad Demotivated,33.3,All my time was focused on fixing issues,
Front Porch Agility,F&F,Did you feel purpose in your work today?,Opportunity,Happy Excited Motivated,100,I got time to progress something important / valuable,
Front Porch Agility,F&F,Did you feel purpose in your work today?,Opportunity,Sad Demotivated,33.3,All my time was focused on fixing issues,
Front Porch Agility,F&F,Did you feel purpose in your work today?,Opportunity,Its OK,66.6,,couldn’t sleep last night because I had too much on my mind feeling a little bit un-inspired at the moment
Front Porch Agility,F&F,Did you feel purpose in your work today?,Opportunity,Sad Demotivated,33.3,I was overburdened with operational work,
Front Porch Agility,F&F,Did today's challenges enhance your personal growth?,Learning,Its OK,66.6,,I remained calm and focused when I was in a challenging people situation.
Front Porch Agility,F&F,Did today's challenges enhance your personal growth?,Learning,Its OK,66.6,Today's challenges matched my growth goals and aspirations,
Front Porch Agility,F&F,Did today's challenges enhance your personal growth?,Learning,Its OK,66.6,I overcame complex problems that improved my skills,
Front Porch Agility,F&F,Did today's challenges enhance your personal growth?,Learning,Sad Demotivated,33.3,I felt too busy to focus on growth,
Front Porch Agility,F&F,Did today's challenges enhance your personal growth?,Learning,Its OK,66.6,I overcame complex problems that improved my skills,
Front Porch Agility,F&F,Did today's challenges enhance your personal growth?,Learning,Its OK,66.6,I overcame complex problems that improved my skills,
Front Porch Agility,F&F,Did today's challenges enhance your personal growth?,Learning,Happy Excited Motivated,100,Today's challenges matched my growth goals and aspirations,
Front Porch Agility,F&F,Could you express your frustrations freely today?,Vulnerability,Sad Demotivated,33.3,Past experiences of negative backlash for speaking out,
Front Porch Agility,F&F,Could you express your frustrations freely today?,Vulnerability,Frustrated Angry,0,Workplace culture discourages sharing negative emotions,
Front Porch Agility,F&F,Could you express your frustrations freely today?,Vulnerability,Happy Excited Motivated,100,We're encouraged to voice frustrations constructively,
Front Porch Agility,F&F,Could you express your frustrations freely today?,Vulnerability,Sad Demotivated,33.3,Past experiences of negative backlash for speaking out,
Front Porch Agility,F&F,Could you express your frustrations freely today?,Vulnerability,Frustrated Angry,0,Past experiences of negative backlash for speaking out,
Front Porch Agility,F&F,Could you express your frustrations freely today?,Vulnerability,Its OK,66.6,Felt safe to share concerns without judgment,
Front Porch Agility,F&F,Could you express your frustrations freely today?,Vulnerability,Frustrated Angry,0,,
Front Porch Agility,F&F,Could you express your frustrations freely today?,Vulnerability,Sad Demotivated,33.3,,
Front Porch Agility,F&F,Could you express your frustrations freely today?,Vulnerability,Happy Excited Motivated,100,,
